move_id,name_en,name_cn,type,category,power,accuracy,pp,effect
19,Amnesia,瞬间失忆,Psychic,3,—,—,20,Amnesia raises the user's Special Defense by two stages. Stats can be raised to a maximum of +6 stages each.
20,Anchor Shot,掷锚,Steel,1,80,100,20,"The user entangles the target with its anchor chain while attacking. The target becomes unable to flee. Z-Move effects When a Pokémon is holding Steelium Z and uses its Z-Power, Anchor Shot turns into Corkscrew Crash and has base power 160 ."
21,Ancient Power,原始之力,Rock,2,60,100,5,"Ancient Power deals damage and has a 10% chance of raising all the user's stats at once - Attack, Defense, Special Attack, Special Defense and Speed - by one stage each. Stats can be raised to a maximum of +6 stages each."
22,Apple Acid,苹果酸,Grass,2,80,100,10,Lowers target's Special Defense.							(100% chance)
23,Aqua Cutter,水波刀,Water,1,70,100,20,Aqua Cutter deals damage and has an increased critical-hit ratio.
24,Aqua Jet,水流喷射,Water,1,40,100,20,"Aqua Jet deals damage and has a priority of +1. Moves with a higher priority always go first, regardless of a Pokémon's speed. If two moves with the same priority are used, the faster Pokémon goes first as usual."
25,Aqua Ring,水流环,Water,3,—,—,20,"The user of Aqua Ring surrounds itself with a veil of water, which restores 1 ⁄ 16 of its maximum HP at the end of each turn. If the user is holding a Big Root , Aqua Ring restores 30% more HP each turn - approximately 1 ⁄ 12 of its maximum."
26,Aqua Step,流水旋舞,Water,1,80,100,10,Raises user's Speed.							(100% chance)
27,Aqua Tail,水流尾,Water,1,90,90,10,Aqua Tail deals damage with no additional effect.
28,Arm Thrust,猛推,Fighting,1,15,100,20,"Hits Prob. Power 2 3 ⁄ 8 30 3 3 ⁄ 8 45 4 1 ⁄ 8 60 5 1 ⁄ 8 75 Arm Thrust hits 2-5 times per turn used. The probability of each interval is shown in the table, with the total power after each hit. Each strike of Arm Thrust is treated like a separate attack: Each strike can get a critical hit independently. Abilities that activate on contact ( Static , Weak Armor , Iron Barbs etc.) activate for each strike. If the Sturdy ability, Focus Sash , or Focus Band activates before the final hit, the subsequent hit will still deal damage and therefore cause the opponent to faint. If the first hit breaks a Substitute , the second hit will deal damage to the target Pokémon. The move Counter only counters the final hit, but Bide counters the complete damage. The Skill Link ability will cause Arm Thrust to always hit the maximum number of times."
29,Armor Cannon,铠农炮,Fire,2,120,100,5,"Armor Cannon deals damage, but lowers the user's Defense and Special Defense stats by one stage each after attacking. Stats can be lowered to a minimum of -6 stages each."
30,Aromatherapy,芳香治疗,Grass,3,—,—,5,"Cures all status problems in your party. Z-Move effects When a Pokémon is holding Grassium Z and uses its Z-Power, Aromatherapy turns into Z-Aromatherapy and fully restores the user's HP, in addition to its usual effect as above."
31,Aromatic Mist,芳香薄雾,Fairy,3,—,—,20,Aromatic Mist raises the Special Defense of a teammate by one stage. Stats can be raised to a maximum of +6 stages each.
32,Assist,借助,Normal,3,—,—,20,Assist uses a random move known by any of the user's party Pokémon. Assist will not select a Z-Move or any of the following moves: Assist Baneful Bunker Beak Blast Belch Bestow Bounce Chatter Circle Throw Copycat Counter Covet Destiny Bond Detect Dig Dive Dragon Tail Endure Feint Fly Focus Punch Follow Me Helping Hand Hold Hands Kings Shield Mat Block Me First Metronome Mimic Mirror Coat Mirror Move Nature Power Phantom Force Protect Rage Powder Roar Shadow Force Shell Trap Sketch Sky Drop Sleep Talk Snatch Spiky Shield Spotlight Struggle Switcheroo Thief Transform Trick Whirlwind
33,Assurance,恶意追击,Dark,1,60,100,10,"Assurance deals damage, and if the target has already taken damage in this turn its power doubles to 120."
34,Astonish,惊吓,Ghost,1,30,100,15,Astonish deals damage and has a 30% chance of causing the target to flinch (if the target has not yet moved). Pokémon with the ability Inner Focus or those behind a Substitute cannot be made to flinch.
35,Astral Barrage,星碎,Ghost,2,120,100,5,The user attacks by sending a frightful amount of small ghosts at opposing Pokémon.
36,Attack Order,攻击指令,Bug,1,90,100,15,"Attack Order deals damage and has an increased critical hit ratio ( 1 ⁄ 8 instead of 1 ⁄ 24 ). Pokémon with the abilities Battle Armor or Shell Armor , or those under the effects of Lucky Chant , are protected against critical hits."
37,Attract,迷人,Normal,3,—,100,15,"Attract causes Pokémon of the opposite gender to become infatuated. Infatuated Pokémon have a 50% chance of being immobilized by love each turn and unable to attack. Attract will fail on Pokémon of the same gender, genderless Pokémon and those with the ability Oblivious . Mew and Cryogonal can learn Attract via TM despite being genderless, however, the move will have no effect."
38,Aura Sphere,波导弹,Fighting,2,80,∞,20,"Aura Sphere deals damage and ignores changes to the Accuracy and Evasion stats. However, it will not hit Pokémon during the invulnerable stage of Bounce , Dig , Dive , Fly , Phantom Force , Shadow Force or Sky Drop ."
39,Aura Wheel,气场轮,Electric,1,110,100,10,"Aura Wheel deals damage and raises the user's Speed by one stage. It is the signature move of Morpeko , and its type changes based on Morpeko's form: Electric type in Full Belly Mode, or Dark type in Hangry Mode. If the move does not succeed for any reason (e.g. the opponent protected against it or the Electric version was used against a Ground type Pokémon), the user's Speed is not raised. Stats can be raised to a maximum of +6 stages each."
40,Aurora Beam,极光束,Ice,2,65,100,20,Aurora Beam deals damage and has a 10% chance of lowering the target's Attack by one stage. Stats can be lowered to a minimum of -6 stages each.
41,Aurora Veil,极光幕,Ice,3,—,—,20,"Aurora Veil halves damage from Physical and Special attacks for five turns. It can only be used during hail or snow, but the effects continue if the weather changes or subsides."
42,Autotomize,身体轻量化,Steel,3,—,—,15,"Autotomize raises the user's Speed by two stages and reduces its weight by 100kg (to a minimum of 0.1kg). Stats can be raised to a maximum of +6 stages each. Decreasing weight affects these moves: Grass Knot (lower damage when receiving) Heat Crash (lower damage when attacking, higher damage when receiving) Heavy Slam (lower damage when attacking, higher damage when receiving) Low Kick (lower damage when receiving) The effect of the weight change cannot be Baton-Passed (but the Speed change is passed as normal)."
43,Avalanche,雪崩,Ice,1,60,100,10,"Power doubles if user took damage first. Z-Move effects When a Pokémon is holding Icium Z and uses its Z-Power, Avalanche turns into Subzero Slammer and has base power 120 ."
44,Axe Kick,下压踢,Fighting,1,120,90,10,"May confuse opponent. If it misses, the user loses HP."
45,Baby-Doll Eyes,圆瞳,Fairy,3,—,100,30,"Baby-Doll Eyes lowers the target's Attack by one stage, with increased priority."
46,Baddy Bad,坏坏领域,Dark,2,90,100,15,"Baddy Bad deals damage and reduces damage from Physical attacks by 50%, for 5 turns (similar to Reflect ). Baddy Bad is an Eevee-exclusive tutor move from Pokémon Let's Go, along with Bouncy Bubble , Buzzy Buzz , Sizzly Slide , Glitzy Glow , Sappy Seed , Freezy Frost , and Sparkly Swirl ."
47,Baneful Bunker,碉堡,Poison,3,—,—,10,"Baneful Bunker prevents any attacks targeted at the user from striking, for the duration of the turn. If a contact move is targeted at the Baneful Bunker user on that turn, the attacker becomes poisoned. It has priority +4 so will activate before most other moves. Poison or Steel type Pokémon, those with the ability Immunity or those behind a Substitute cannot be poisoned. The effects do not stack with the Rocky Helmet item or the Rough Skin or Iron Barbs abilities. The accuracy of Baneful Bunker drops by 1 ⁄ 3 each time it is used consecutively after itself or Protect , Detect , Endure , Wide Guard , Quick Guard , Spiky Shield , or King's Shield ."
48,Barb Barrage,毒千针,Poison,1,60,100,10,"Barb Barrage deals damage and has a 50% chance chance of poisoning the target. If the target is already poisoned, its power is doubled."
49,Barrage,投球,Normal,1,15,85,20,"Hits Prob. Power 2 3 ⁄ 8 30 3 3 ⁄ 8 45 4 1 ⁄ 8 60 5 1 ⁄ 8 75 Barrage hits 2-5 times per turn used. The probability of each interval is shown in the table, with the total power after each hit. Each strike of Barrage is treated like a separate attack: Each strike can get a critical hit independently. If the Sturdy ability, Focus Sash , or Focus Band activates before the final hit, the subsequent hit will still deal damage and therefore cause the opponent to faint. If the first hit breaks a Substitute , the second hit will deal damage to the target Pokémon. The move Counter only counters the final hit, but Bide counters the complete damage. The Skill Link ability will cause Barrage to always hit the maximum number of times."
50,Barrier,屏障,Psychic,3,—,—,20,Barrier raises the user's Defense by two stages. Stats can be raised to a maximum of +6 stages each.
51,Baton Pass,接棒,Normal,3,—,—,40,"Baton Pass causes the user to switch out for another Pokémon, passing any stat changes to the Pokémon that switches in. These effects are passed: Increases and decreases in Attack, Defense, Special Attack, Special Defense and Speed. For example the effects from Nasty Plot , Swords Dance and Screech (if targeted at the user of Baton Pass ). The sure hit effect from Lock-On and Mind Reader . In other words, after using either move followed by Baton Pass , the next move from the incoming Pokémon will always hit. The confusion status ailment. A Substitute , which keeps its remaining HP. Trapping effects from Mean Look , Block and Spider Web , on both the user and opponent. Critical hit ratio increase from the move Focus Energy or a Lansat Berry. The HP-restoring effects of Aqua Ring and Ingrain . The HP-depleting effect of Curse (when used by a Ghost -type on the user). The effects of the moves Embargo , Gastro Acid , Magnet Rise , Perish Song and Power Trick ."
52,Beak Blast,鸟嘴加农炮,Flying,1,100,100,15,"The user first heats up its beak, and then it attacks the target. Making direct contact with the Pokémon while it's heating up its beak results in a burn. Z-Move effects When a Pokémon is holding Flyinium Z and uses its Z-Power, Beak Blast turns into Supersonic Skystrike and has base power 180 ."
53,Beat Up,围攻,Dark,1,—,100,10,"Beat Up deals damage from each Pokémon on your team that does not have a status ailment (nor is fainted). Each strike has a different base power , calculated as: However, the actual attack is carried out by the original user of Beat Up , so it will always use that Pokémon's current attack stat to calculate damage. It will also receive any boosts from the originating user, such as STAB and any applicable items. However, any items held by the rest of the team do not affect the damage dealt. Each strike of Beat Up is treated like a separate attack: Each strike can get a critical hit independently. If the Sturdy ability, Focus Sash , or Focus Band activates before the final hit, the subsequent hit will still deal damage and therefore cause the opponent to faint. If the first hit breaks a Substitute , the second hit will deal damage to the target Pokémon. The move Counter only counters the final hit, but Bide counters the complete damage."
54,Behemoth Bash,巨兽弹,Steel,1,100,100,5,"Behemoth Bash deals damage, and if the target is Dynamaxed its power doubles to 200."
55,Behemoth Blade,巨兽斩,Steel,1,100,100,5,"Behemoth Blade deals damage, and if the target is Dynamaxed its power doubles to 200."
56,Belch,打嗝,Poison,2,120,90,10,"Belch deals damage, but only works if the user has previously consumed a Berry during the battle. Manually feeding a Berry from the bag does not count."
57,Belly Drum,腹鼓,Normal,3,—,—,10,"User loses 50% of its max HP, but Attack raises to maximum. Z-Move effects When a Pokémon is holding Normalium Z and uses its Z-Power, Belly Drum turns into Z-Belly Drum and fully restores the user's HP, in addition to its usual effect as above."
58,Bestow,传递礼物,Normal,3,—,—,15,"Bestow gives the user's held item to the target. It will not work if the target is already holding an item or is behind a Substitute . Mail cannot be transferred. Items bestowed upon wild Pokémon are permanently lost if the Pokémon is KO'd, but items lost in Trainer battles are returned. All held items in wi-fi/linked battles (including Battle Tower/Subway/Maison) are returned to their respective owners at the end of a battle. Pokemon with the ability Sticky Hold cannot have their held item removed. The Griseous Orb cannot be removed from Giratina ; Type Plates cannot be removed from Arceus ; Drives cannot be removed from Genesect ; and Mega Stones cannot be removed from their respective Pokémon."
59,Bide,忍耐,Normal,1,—,—,10,"The user of Bide stores energy for 2 turns. At the end of the second turn the Pokémon unleashes energy , dealing twice the HP damage it received. Bide deals fixed, typeless damage, so will hit Ghost -type Pokémon. It also ignores changes to the Accuracy and Evasion stats and can hit Pokémon in the invulnerable stage of Bounce , Dig , Dive , Fly , Phantom Force , Shadow Force or Sky Drop . In double and triple battles, Bide hits the last Pokémon to attack the user (including teammates)."
60,Bind,绑紧,Normal,1,15,85,20,"Bind inflicts damage on the first turn then traps the opponent, causing them to lose 1 ⁄ 8 of their maximum HP after each turn, for 4-5 turns. If the user holds a Grip Claw , the after-effects last for 7 turns. If a Binding Band is held, the damage is 1 ⁄ 6 of the target's maximum HP."
61,Bite,咬住,Dark,1,60,100,25,Bite deals damage and has a 30% chance of causing the target to flinch (if the target has not yet moved). Pokémon with the ability Inner Focus or those behind a Substitute cannot be made to flinch.
62,Bitter Blade,悔念剑,Fire,1,90,100,10,Bitter Blade deals damage and the user will recover 50% of the damage taken by the target.
63,Bitter Malice,冤冤相报,Ghost,2,75,100,10,Bitter Malice deals damage and lowers the target's Attack by one stage. Stats can be lowered to a minimum of -6 stages each.
64,Black Hole Eclipse,黑洞吞噬万物灭,Dark,—,—,—,1,"Black Hole Eclipse is the Dark type Z-Move, introduced in Pokémon Sun/Moon."
65,Blast Burn,爆炸烈焰,Fire,2,150,90,5,"User must recharge next turn. Z-Move effects When a Pokémon is holding Firium Z and uses its Z-Power, Blast Burn turns into Inferno Overdrive and has base power 200 ."
66,Blaze Kick,火焰踢,Fire,1,85,90,10,"Blaze Kick deals damage and has a 10% chance of burning the target. It also has an increased critical hit ratio ( 1 ⁄ 8 instead of 1 ⁄ 24 ). Fire type Pokémon, those with the ability Water Veil or those behind a Substitute cannot be burned. Pokémon with the abilities Battle Armor or Shell Armor , or those under the effects of Lucky Chant , are protected against critical hits."
67,Blazing Torque,灼热暴冲,Fire,1,80,100,10,Blazing Torque deals damage and has a 30% chance of burning the target. Only the Revavroom used by Team Star has this move.
68,Bleakwind Storm,枯叶风暴,Flying,2,100,80,10,"Bleakwind Storm deals damage and has a 30% chance of lowering the target's Speed by one stage. The move targets both opponents in a double battle (each with a 30% chance of lowering Speed). Stats can be lowered to a minimum of -6 stages each. If used during rain , Bleakwind Storm ignores accuracy."
69,Blizzard,暴风雪,Ice,2,110,70,5,"Blizzard deals damage and has a 10% chance of freezing the target. It will hit both opponents in a double battle or adjacent opponents in a triple battle. Ice type Pokémon, those with the ability Magma Armor or those behind a Substitute cannot be frozen. During a hailstorm , Blizzard ignores accuracy."
70,Block,挡路,Normal,3,—,—,5,"Opponent cannot flee or switch. Z-Move effects When a Pokémon is holding Normalium Z and uses its Z-Power, Block turns into Z-Block and raises Defense one stage, in addition to its usual effect as above."
71,Blood Moon,,Normal,2,140,100,5,The user unleashes the full brunt of its spirit from a full moon that shines as red as blood. This move can't be used twice in a row.
72,Bloom Doom,绚烂缤纷花怒放,Grass,—,—,—,1,"Bloom Doom is the Grass type Z-Move, introduced in Pokémon Sun/Moon."
73,Blue Flare,青焰,Fire,2,130,85,5,"Blue Flare deals damage and has a 20% chance of burning the target. Fire type Pokémon, those with the ability Water Veil or those behind a Substitute cannot be burned."
74,Body Press,扑击,Fighting,1,80,100,10,"The higher the user's Defense, the stronger the attack."
75,Body Slam,泰山压顶,Normal,1,85,100,15,"Body Slam deals damage and has a 30% chance of paralyzing the target. Electric type Pokémon, those with the ability Limber or those behind a Substitute cannot be paralyzed. If the target has used Minimize , Body Slam ignores accuracy and deals double damage."
76,Bolt Beak,电喙,Electric,1,85,100,10,"If the user attacks before the target, the power of this move is doubled."
77,Bolt Strike,雷击,Electric,1,130,85,5,"Bolt Strike deals damage and has a 20% chance of paralyzing the target. Electric type Pokémon, those with the ability Limber or those behind a Substitute cannot be paralyzed."
78,Bone Club,骨棒,Ground,1,65,85,20,Bone Club deals damage and has a 10% chance of causing the target to flinch (if the target has not yet moved). Pokémon with the ability Inner Focus or those behind a Substitute cannot be made to flinch.
79,Bone Rush,骨棒乱打,Ground,1,25,90,10,"Hits Prob. Power 2 3 ⁄ 8 50 3 3 ⁄ 8 75 4 1 ⁄ 8 100 5 1 ⁄ 8 125 Bone Rush hits 2-5 times per turn used. The probability of each interval is shown in the table, with the total power after each hit. Each strike of Bone Rush is treated like a separate attack: Each strike can get a critical hit independently. If the Sturdy ability, Focus Sash , or Focus Band activates before the final hit, the subsequent hit will still deal damage and therefore cause the opponent to faint. If the first hit breaks a Substitute , the second hit will deal damage to the target Pokémon. The move Counter only counters the final hit, but Bide counters the complete damage. The Skill Link ability will cause Bone Rush to always hit the maximum number of times."
80,Bonemerang,骨头回力镖,Ground,1,50,90,10,"Bonemerang deals damage and will strike twice (with 50 base power each time). Each strike of Bonemerang is treated like a separate attack: Each strike can get a critical hit independently. If the Sturdy ability, Focus Sash , or Focus Band activates before the final hit, the subsequent hit will still deal damage and therefore cause the opponent to faint. If the first hit breaks a Substitute , the second hit will deal damage to the target Pokémon. The move Counter only counters the final hit, but Bide counters the complete damage."
81,Boomburst,爆音波,Normal,2,140,100,10,"Boomburst deals massive damage and targets all adjacent Pokémon in battle, including allies."
82,Bounce,弹跳,Flying,1,85,85,5,"The user of Bounce will spring up on the first turn, disappearing from view and becoming invulnerable to most attacks. On the second turn, Bounce deals damage and has a 30% chance of paralyzing the target. While in the air, the Pokémon can only be hit by the moves Gust , Twister , Thunder , Sky Uppercut and Smack Down , with Gust and Twister dealing twice normal damage. Moves from No Guard Pokémon, or any move following an identify move can also hit for regular power. Electric type Pokémon, those with the ability Limber or those behind a Substitute cannot be paralyzed. If the user is holding a Power Herb , Bounce executes in one turn."
83,Bouncy Bubble,活活气泡,Water,2,90,100,15,"Bouncy Bubble deals damage and heals the user for half the damage dealt to the opponent. Bouncy Bubble is an Eevee-exclusive tutor move from Pokémon Let's Go, along with Buzzy Buzz , Sizzly Slide , Glitzy Glow , Baddy Bad , Sappy Seed , Freezy Frost , and Sparkly Swirl ."
84,Branch Poke,木枝突刺,Grass,1,40,100,40,Branch Poke has no added effects.
85,Brave Bird,勇鸟猛攻,Flying,1,120,100,15,"Brave Bird deals damage, but the user receives 1 ⁄ 3 of the damage it inflicted in recoil. In other words, if the attack does 90 HP damage to the opponent, the user will lose 30 HP."
86,Breaking Swipe,广域破坏,Dragon,1,60,100,15,Hits multiple opponents and lowers their attack.							(100% chance)
87,Breakneck Blitz,究极无敌大冲撞,Normal,—,—,—,1,"Breakneck Blitz is the Normal type Z-Move, introduced in Pokémon Sun/Moon."
88,Brick Break,劈瓦,Fighting,1,75,100,15,"Brick Break deals damage, but removes the effects of Reflect and Light Screen before attacking."
89,Brine,盐水,Water,2,65,100,10,"Power doubles if opponent's HP is less than 50%. Z-Move effects When a Pokémon is holding Waterium Z and uses its Z-Power, Brine turns into Hydro Vortex and has base power 120 ."
90,Brutal Swing,狂舞挥打,Dark,1,60,100,20,"The user swings its body around violently to inflict damage on everything in its vicinity. Z-Move effects When a Pokémon is holding Darkinium Z and uses its Z-Power, Brutal Swing turns into Black Hole Eclipse and has base power 120 ."
91,Bubble,泡沫,Water,2,40,100,30,Bubble deals damage and has a 10% chance of lowering the target's Speed by one stage.
92,Bubble Beam,泡沫光线,Water,2,65,100,20,Bubble Beam deals damage and has a 10% chance of lowering the target's Speed by one stage. Stats can be lowered to a minimum of -6 stages each.
93,Bug Bite,虫咬,Bug,1,60,100,20,"Bug Bite deals damage, and if the target is holding a Berry, the user eats it and gains its effect. For example, if the target is holding a Sitrus Berry the user will recover 1 ⁄ 4 of its HP. Bug Bite cannot steal a berry from a Substitute ."
94,Bug Buzz,虫鸣,Bug,2,90,100,10,Bug Buzz deals damage and has a 10% chance of lowering the target's Special Defense by one stage. Stats can be lowered to a minimum of -6 stages each.
95,Bulk Up,健美,Fighting,3,—,—,20,Bulk Up raises the user's Attack and Defense by one stage each. Stats can be raised to a maximum of +6 stages each.
96,Bulldoze,重踏,Ground,1,60,100,20,Bulldoze deals damage and lowers the target's Speed by one stage. Stats can be lowered to a minimum of -6 stages each.
97,Bullet Punch,子弹拳,Steel,1,40,100,30,"Bullet Punch deals damage and has a priority of +1. Moves with a higher priority always go first, regardless of a Pokémon's speed. If two moves with the same priority are used, the faster Pokémon goes first as usual."
98,Bullet Seed,种子机关枪,Grass,1,25,100,30,"Hits Prob. Power 2 3 ⁄ 8 50 3 3 ⁄ 8 75 4 1 ⁄ 8 100 5 1 ⁄ 8 125 Bullet Seed hits 2-5 times per turn used. The probability of each interval is shown in the table, with the total power after each hit. Each strike of Bullet Seed is treated like a separate attack: Each strike can get a critical hit independently. If the Sturdy ability, Focus Sash , or Focus Band activates before the final hit, the subsequent hit will still deal damage and therefore cause the opponent to faint. If the first hit breaks a Substitute , the second hit will deal damage to the target Pokémon. The move Counter only counters the final hit, but Bide counters the complete damage. The Skill Link ability will cause Bullet Seed to always hit the maximum number of times."
99,Burn Up,燃尽,Fire,2,130,100,5,"To inflict massive damage, the user burns itself out. After using this move, the user will no longer be Fire type. Z-Move effects When a Pokémon is holding Firium Z and uses its Z-Power, Burn Up turns into Inferno Overdrive and has base power 195 ."
100,Burning Bulwark,,Fire,3,—,∞,10,The user’s intensely hot fur protects it from attacks and also burns any attacker that makes direct contact with it.
101,Burning Jealousy,妒火,Fire,2,70,100,5,"Hits all opponents, and burns any that have had their stats boosted."
102,Buzzy Buzz,麻麻电击,Electric,2,90,100,15,"Buzzy Buzz deals damage and paralyzes the target. Buzzy Buzz is an Eevee-exclusive tutor move from Pokémon Let's Go, along with Bouncy Bubble , Sizzly Slide , Glitzy Glow , Baddy Bad , Sappy Seed , Freezy Frost , and Sparkly Swirl ."
103,Calm Mind,冥想,Psychic,3,—,—,20,Calm Mind raises the user's Special Attack and Special Defense by one stage each. Stats can be raised to a maximum of +6 stages each.
104,Camouflage,保护色,Normal,3,—,—,20,"Camouflage causes the user to change its type based on the current terrain: Normal type in buildings, paved/plain terrain or wi-fi/linked battles. Grass type in standard grassy areas or when Grassy Terrain is in effect. Ground type in desert, beaches or rocky terrain. Rock type in caves. Water type when surfing on water or diving underwater. Ice type in snow or icy caves. Fire type in volcanic areas. Flying type when soaring or at the Sky Pillar (Omega Ruby/Alpha Sapphire). Ghost type when at Mt. Pyre (Omega Ruby/Alpha Sapphire). Dragon type when in Space (Omega Ruby/Alpha Sapphire). Fairy type when Misty Terrain is in effect. Electric type when Electric Terrain is in effect. Psychic type when Psychic Terrain is in effect, or in Ultra Space (Sun/Moon/US/UM)."
105,Captivate,诱惑,Normal,3,—,100,20,"Captivate lowers the Special Attack of the target by two stages, if they are of the opposite gender to the user. Stats can be lowered to a minimum of -6 stages each. Captivate will fail if both Pokémon are the same gender, either Pokémon is genderless, or the target has the ability Oblivious ."
106,Catastropika,皮卡皮卡必杀击,Electric,1,210,—,1,Catastropika is a Z-Move exclusive to Pikachu. It can only be used with Volt Tackle .
107,Ceaseless Edge,秘剑・千重涛,Dark,1,65,90,15,"Ceaseless Edge deals damage and lays a trap of thorns on the opposing field, like Spikes , which damage opponents switching into battle."
108,Celebrate,庆祝,Normal,3,—,—,40,"The Pokémon congratulates you on your special day. No battle effect. Z-Move effects When a Pokémon is holding Normalium Z and uses its Z-Power, Celebrate turns into Z-Celebrate and raises all stats one stage each, in addition to its usual effect as above."
109,Charge,充电,Electric,3,—,—,20,"Charge raises the user's Special Defense by one stage, and if this Pokémon's next move is a damage-dealing Electric-type attack, it will deal double damage. Stats can be raised to a maximum of +6 stages each."
110,Charge Beam,充电光束,Electric,2,50,90,10,Charge Beam deals damage and has a 70% chance of raising the user's Special Attack by one stage. Stats can be raised to a maximum of +6 stages each.
111,Charm,撒娇,Fairy,3,—,100,20,Charm lowers the target's Attack by two stages. Stats can be lowered to a minimum of -6 stages each.
112,Chatter,喋喋不休,Flying,2,65,100,20,"Chatter deals damage and causes the target to become confused. Confused Pokémon have a 33% chance of hurting themselves each turn, for 1-4 attacking turns (50% chance in Generations 1-6 ). The damage received is as if the Pokémon attacks itself with a typeless 40 base power Physical attack. Pokémon with the ability Own Tempo or those behind a Substitute cannot be confused."
113,Chilling Water,泼冷水,Water,2,50,100,20,Lowers opponent's Attack.
114,Chilly Reception,冷笑话,Ice,3,—,—,10,Switches out and summons a snowstorm lasting 5 turns.
115,Chip Away,逐步击破,Normal,1,70,100,20,"Chip Away deals damage, but ignores changes to the target's stats (i.e. Defense and Evasion in this case). Note this does not include the effects of screens like Reflect as they are different to regular stat boosts."
116,Chloroblast,叶绿爆震,Grass,2,150,95,5,"Chloroblast deals damage, but the user loses 1 ⁄ 2 of its maximum HP."
117,Circle Throw,巴投,Fighting,1,60,90,10,"In battles, the opponent switches. In the wild, the Pokémon runs. Z-Move effects When a Pokémon is holding Fightinium Z and uses its Z-Power, Circle Throw turns into All-Out Pummeling and has base power 120 ."
118,Clamp,贝壳夹击,Water,1,35,85,15,"Clamp inflicts damage on the first turn then traps the opponent, causing them to lose 1 ⁄ 8 of their maximum HP after each turn, for 4-5 turns. If the user holds a Grip Claw , the after-effects last for 7 turns. If a Binding Band is held, the damage is 1 ⁄ 6 of the target's maximum HP."
